"customer_id","full_name","country","city","total_amount_spent","total_rent","first_rental_date","last_rental_date","rental_month"
148,"Eleanor Hunt","Runion","Saint-Denis","211.55","45","2005-06-15 22:02:35","2005-08-23 05:57:04","3"
526,"Karl Seal","United States","Cape Coral","208.58","42","2005-06-15 06:13:45","2005-08-23 22:21:03","3"
178,"Marion Snyder","Brazil","Santa Brbara dOeste","194.61","39","2005-06-15 09:03:52","2006-02-14 15:16:03","4"
137,"Rhonda Kennedy","Netherlands","Apeldoorn","191.62","38","2005-06-18 20:24:23","2005-08-23 21:56:04","3"
144,"Clara Shaw","Belarus","Molodetno","189.60","40","2005-06-16 21:15:22","2005-08-23 12:43:30","3"
459,"Tommy Collazo","Iran","Qomsheh","183.63","37","2005-06-17 02:50:51","2005-08-23 14:52:50","3"
181,"Ana Bradley","United States","Memphis","167.67","33","2005-06-16 08:32:36","2006-02-14 15:16:03","4"
410,"Curtis Irby","Canada","Richmond Hill","167.62","38","2005-06-15 22:57:34","2006-02-14 15:16:03","4"
236,"Marcia Dean","Philippines","Tanza","166.61","39","2005-06-15 06:54:53","2006-02-14 15:16:03","4"
403,"Mike Way","India","Valparai","162.67","33","2005-06-15 03:35:16","2005-08-22 23:27:43","3"
522,"Arnold Havens","Philippines","Santa Rosa","161.68","32","2005-06-15 08:44:09","2005-08-23 18:06:54","3"
469,"Wesley Bull","Spain","Ourense (Orense)","158.65","35","2005-06-15 16:29:51","2005-08-23 15:46:33","3"
470,"Gordon Allard","Yemen","Hodeida","157.69","31","2005-06-15 06:13:57","2005-08-21 10:45:01","3"
373,"Louis Leone","Philippines","Tanauan","156.66","34","2005-06-15 20:54:55","2006-02-14 15:16:03","4"
468,"Tim Cary","India","Bijapur","154.66","34","2005-06-15 03:53:13","2005-08-23 22:24:39","3"
259,"Lena Jensen","India","Halisahar","152.71","29","2005-06-16 08:46:26","2005-08-23 09:52:55","3"
462,"Warren Sherrod","Russian Federation","Usolje-Sibirskoje","152.69","31","2005-06-16 18:13:43","2005-08-23 21:17:17","3"
372,"Steve Mackenzie","Indonesia","Probolinggo","152.68","32","2005-06-18 09:03:39","2005-08-23 05:08:58","3"
187,"Brittany Riley","Ukraine","Sumy","151.73","27","2005-06-15 10:55:17","2005-08-23 19:59:33","3"
550,"Guy Brownlee","China","Zhoushan","151.69","31","2005-06-15 04:18:37","2006-02-14 15:16:03","4"
176,"June Carroll","Algeria","Skikda","151.68","32","2005-06-15 08:55:01","2005-08-23 18:36:44","3"
532,"Neil Renner","Vietnam","Cam Ranh","149.69","31","2005-06-16 12:40:23","2006-02-14 15:16:03","4"
75,"Tammy Sanders","Taiwan","Changhwa","149.61","39","2005-06-17 06:00:23","2006-02-14 15:16:03","4"
209,"Tonya Chapman","India","Bhilwara","147.71","29","2005-06-15 02:06:28","2005-08-23 02:51:27","3"
